name,year,expenses,degree,enrollment,level,control
Arizona Academy of Beauty-East,2013,3599,,47,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2006,2541,,42,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2007,2626,,51,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2008,2973,,64,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2009,1967,,107,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2010,1953,,74,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2011,3472,,78,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2012,5589,,55,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-North,2013,3598,,55,Less than 2 years (below associate),Private for-profit
Arizona Automotive Institute,2006,2578,,589,Less than 2 years (below associate),Private for-profit
Arizona Automotive Institute,2007,5672,,582,Less than 2 years (below associate),Private for-profit
Arizona Automotive Institute,2008,5266,,341,Less than 2 years (below associate),Private for-profit
Arizona Automotive Institute,2009,3709,,805,Less than 2 years (below associate),Private for-profit
Arizona Automotive Institute,2010,1485,,1734,Less than 2 years (below associate),Private for-profit
Arizona Automotive Institute,2011,1842,,1321,Less than 2 years (below associate),Private for-profit
Arizona Automotive Institute,2012,3437,,726,At least 2 but less than 4 years,Private for-profit
Arizona Automotive Institute,2013,5391,,505,Less than 2 years (below associate),Private for-profit
Arizona Board of Regents,2006,0,,,Four or more years,Public
Arizona Board of Regents,2007,0,,,Four or more years,Public
Arizona Board of Regents,2008,0,,,Four or more years,Public
Arizona Board of Regents,2009,0,,,Four or more years,Public
Arizona Board of Regents,2010,0,,,Four or more years,Public
Arizona Board of Regents,2011,0,,,Four or more years,Public
Arizona Board of Regents,2012,6036,,,Less than 2 years (below associate),Public
Arizona Board of Regents,2013,0,,,Four or more years,Public
Arizona Christian University,2006,7070,31,287,Four or more years,Private not-for-profit
Arizona Christian University,2007,7126,38,337,Four or more years,Private not-for-profit
Arizona Christian University,2008,6708,43,363,Four or more years,Private not-for-profit
Arizona Christian University,2009,6313,43,384,Four or more years,Private not-for-profit
Arizona Christian University,2010,7511,47,408,Four or more years,Private not-for-profit
Arizona Christian University,2011,8764,55,530,Four or more years,Private not-for-profit
Arizona Christian University,2012,5185,84,587,Four or more years,Private not-for-profit
Arizona Christian University,2013,5656,84,525,Four or more years,Private not-for-profit
Arizona College-Glendale,2006,7552,,134,At least 2 but less than 4 years,Private for-profit
Arizona College-Glendale,2007,5029,,137,At least 2 but less than 4 years,Private for-profit
Arizona College-Glendale,2008,2987,,205,At least 2 but less than 4 years,Private for-profit
Arizona College-Glendale,2009,2561,,740,At least 2 but less than 4 years,Private for-profit
Arizona College-Glendale,2010,1173,,832,At least 2 but less than 4 years,Private for-profit
Arizona College-Glendale,2011,1628,,691,At least 2 but less than 4 years,Private for-profit
Arizona College-Glendale,2012,1118,,573,Four or more years,Private for-profit
Arizona College-Glendale,2013,2200,,937,At least 2 but less than 4 years,Private for-profit
Arizona College-Mesa,2006,0,,,Four or more years,Private for-profit
Arizona College-Mesa,2007,0,,,Four or more years,Private for-profit
Arizona College-Mesa,2008,0,,,Four or more years,Private for-profit
Arizona College-Mesa,2009,0,,,Four or more years,Private for-profit
Arizona College-Mesa,2010,0,,,Four or more years,Private for-profit
Arizona College-Mesa,2013,3014,0,162,Four or more years,Private for-profit
Arizona Culinary Institute,2006,0,,,Less than 2 years (below associate),Private for-profit
Arizona Culinary Institute,2007,0,,,Less than 2 years (below associate),Private for-profit
Arizona Culinary Institute,2008,7784,,153,Less than 2 years (below associate),Private for-profit
Arizona Culinary Institute,2009,7828,,125,Less than 2 years (below associate),Private for-profit
Arizona Culinary Institute,2010,7806,,140,Less than 2 years (below associate),Private for-profit
Arizona Culinary Institute,2011,8519,,175,Less than 2 years (below associate),Private for-profit
Arizona Culinary Institute,2012,2240,,131,Four or more years,Private for-profit
Arizona Culinary Institute,2013,6630,,136,Less than 2 years (below associate),Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2006,140,,32,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2007,6523,,51,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2008,4295,,49,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2009,5549,,58,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2010,2522,,51,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2011,7186,0,51,Four or more years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2012,2737,0,38,At least 2 but less than 4 years,Private for-profit
Arizona School of Acupuncture and Oriental Medicine,2013,9456,0,39,Four or more years,Private for-profit
Arizona State University-Downtown Phoenix,2006,0,,3287,Four or more years,Public
Arizona State University-Downtown Phoenix,2007,12422,,3517,Four or more years,Public
Arizona State University-Downtown Phoenix,2008,0,,,Four or more years,Public
Arizona State University-Downtown Phoenix,2009,0,,,Four or more years,Public
Arizona State University-Downtown Phoenix,2010,0,,,Four or more years,Public
Arizona State University-Downtown Phoenix,2011,0,,,,
Arizona State University-Downtown Phoenix,2012,2053,,,Four or more years,Private for-profit
Arizona State University-Downtown Phoenix,2013,9165,1969,9495,Four or more years,Public
Arizona State University-Polytechnic,2006,9756,,3590,Four or more years,Public
Arizona State University-Polytechnic,2007,7296,,4617,Four or more years,Public
Arizona State University-Polytechnic,2008,0,,,Four or more years,Public
Arizona State University-Polytechnic,2009,0,,,Four or more years,Public
Arizona State University-Polytechnic,2010,0,,,Four or more years,Public
Arizona State University-Polytechnic,2011,0,,,,
